Date,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
2015-06-26,242.08,242.08,241.41,241.82,24.26363817,5864.2908729509,241.69050131161
2015-06-25,240.19,242.9,239.18,241.98,5002.93130218,1207599.9408857,241.37847752567
2015-06-24,243.85,243.99,238.2,240.19,6723.31332443,1621933.9566136,241.24027519587
2015-06-23,245.99,247.25,242.14,243.74,4953.90339619,1210524.7658187,244.35776578722
2015-06-22,243.6,247.99,242.64,246.0,5149.76385851,1263921.544389,245.43291287044
2015-06-21,244.65,245.0,241.06,243.64,1946.29303002,473260.91412261,243.16015462367
2015-06-20,243.75,245.56,239.93,244.76,4434.68706015,1075370.586652,242.49074896745
2015-06-19,248.45,249.93,242.14,243.7,6783.07499263,1670444.7526508,246.26659066363
2015-06-18,247.76,251.58,240.0,248.4,11145.12980575,2746848.9589135,246.4618184614
2015-06-17,250.02,257.39,243.2,247.76,16951.14131427,4243214.1008497,250.32025998615
2015-06-16,236.0,252.05,234.35,250.09,17954.59381244,4361600.0943415,242.92390793713
2015-06-15,232.08,237.09,231.55,235.92,10505.58465516,2463163.9151396,234.46233560451
2015-06-14,231.64,234.0,230.94,232.09,3586.28113849,832952.91374317,232.26090804858
2015-06-13,229.3,232.04,228.06,231.64,4009.80463805,924578.60490912,230.57946418026
2015-06-12,229.14,230.7,228.29,229.4,5887.14828702,1352496.7201356,229.73715867112
2015-06-11,227.88,229.57,227.25,229.03,4727.31485975,1081972.659485,228.87679191783
2015-06-10,228.7,229.75,226.83,227.8,6284.74068336,1434862.9143357,228.30900853788
2015-06-09,228.05,230.79,226.67,228.7,9129.70788714,2092426.0281912,229.18871600905
2015-06-08,222.65,229.4,222.31,228.17,8986.86692341,2030845.8063468,225.97928996331
2015-06-07,224.95,225.48,221.86,222.7,3324.38263427,744455.84138935,223.93807310718
2015-06-06,224.4,225.26,223.07,224.99,2772.3311628,622174.41929784,224.42283506616
2015-06-05,222.99,225.9,219.03,224.4,8396.71286165,1874523.3115866,223.24489862551
2015-06-04,224.8,225.98,222.0,222.99,4822.40910993,1082749.6390211,224.52463371295
2015-06-03,225.17,226.99,222.57,224.27,5815.57316073,1308939.3940834,225.07487360353
2015-06-02,223.5,226.38,221.34,225.18,7744.87861592,1732996.2687465,223.76028788678
2015-06-01,228.91,231.2,220.65,223.51,12184.9625438,2745533.8339892,225.32148327252
2015-05-31,232.11,232.51,228.0,228.91,4372.2083097,1009782.368798,230.95477096957
2015-05-30,236.03,236.03,231.0,232.11,4245.94446818,989461.15815016,233.03676380259
2015-05-29,236.46,236.52,234.0,236.03,6165.89141257,1451969.3084097,235.48408676962
2015-05-28,235.32,236.8,234.87,236.46,5005.98078357,1181332.1585072,235.98415766684
2015-05-27,235.71,237.35,234.0,235.17,8572.87348853,2020077.9117076,235.63603433673
2015-05-26,235.72,237.96,234.0,235.71,8590.07576695,2027436.0765703,236.02074435372
2015-05-25,239.69,240.1,233.1,235.59,5625.08705698,1329127.7939042,236.28572863684
2015-05-24,237.87,241.64,237.66,239.22,2921.54797112,700689.78445766,239.8351118599
2015-05-23,238.8,240.67,237.4,237.76,3216.27981892,769659.69775343,239.30122411174
2015-05-22,235.0,240.9,232.92,238.99,10451.79948446,2474671.2443064,236.76987374145
2015-05-21,234.4,236.52,233.75,235.0,4609.28122677,1084562.7802535,235.29976299876
2015-05-20,231.4,234.86,231.0,234.43,7823.35662916,1827504.3174067,233.59593637789
2015-05-19,233.03,234.24,230.86,231.4,5568.27679815,1295513.4222824,232.65966640035
2015-05-18,235.69,236.94,231.44,232.87,7443.21982028,1749933.8072331,235.10441038772
2015-05-17,235.43,237.0,234.15,235.97,2645.16140795,624187.82095885,235.97343401536
2015-05-16,237.39,237.4,234.0,235.66,3116.78947332,735534.14917169,235.9909629662
2015-05-15,237.12,239.28,235.12,237.37,4536.92896144,1076186.7695793,237.20599963677
2015-05-14,235.97,239.7,232.22,237.13,7530.5008083,1782947.5122412,236.76347133197
2015-05-13,241.03,244.14,235.06,235.97,9332.46630536,2246344.4948137,240.70212753125
2015-05-12,241.3,242.0,237.54,241.03,8418.71568249,2022709.5933191,240.26344036371
2015-05-11,239.13,244.51,237.99,241.3,9690.63948632,2333507.174683,240.80012242506
2015-05-10,241.83,244.99,238.02,239.13,3520.24220877,847791.56591318,240.8333051064
2015-05-09,243.22,247.01,238.62,241.96,5499.60615915,1331707.236358,242.14592787566
